Internal name	Serial	ROM size (MBit)	 Complement	CRC32	Memory type	RAM size (KBit) 
JUKA	AGB-BJKE-USA	128	82	0C04A2F9	EEPROM_V124	4
JUKA	AGB-BJKP-EUR	128	7E	E62BFFEB	EEPROM_V124	4
JUSTICE LEAG	AGB-BJLE-USA	64	6B	07090F67	EEPROM_V120	4
JETFUSIONENG	AGB-BJNE-USA	32	32	67756000		
HPCOLLECTIO	AGB-BJPP-EUR	256	80	FFA9F4FB	EEPROM_V126	64
TOMAJERRYGBA	AGB-BJTE-USA	64	FC	AF494F20		
TOMAJERRYGBA	AGB-BJTP-EUR	64	F1	5A8D5736		
TAK&JUJUENG	AGB-BJUE-USA	64	9E	A9AF1381	EEPROM_V122	4
TAK&JUJUMULT	AGB-BJUP-EUR	64	2B	0D483AA6	EEPROM_V122	64
TAK&JUJUMULT	AGB-BJUX-EUU	64	23	4D0C3680	EEPROM_V124	4
TAK GJC	AGB-BJWE-USA	64	E6	881C8416	EEPROM_V124	4
TAK GJC	AGB-BJWX-EUU	64	D3	4AD90EC1	EEPROM_V124	4
HARRYPHOENI	AGB-BJXE-USA	128	70	302B8B3D	EEPROM_V124	4
JIMMYNEUAOTT	AGB-BJYE-USA	32	12	D59D753B	EEPROM_V124	4
JIMMYNEUAOTT	AGB-BJYF-FRA	32	11	33816E51	EEPROM_V124	4
SAKURA	AGB-BK3J-JPN	32	FE	DBC9CD2E	EEPROM_V124	64
CROKET!4	AGB-BK4J-JPN	128	B4	C86BF751	SRAM_F_V103	256
CROKET!5	AGB-BK5J-JPN	128	B2	F0E81971	SRAM_F_V103	256
MUSHIKING GC	AGB-BK6J-JPN	256	63	7AC9FFBF	SRAM_V113	256
KONG:KOA	AGB-BK7E-USA	32	88	5E8B2644		
KONGATLANTIS	AGB-BK7P-EUR	32	3F	9C12CD31		
KAPPA	AGB-BK8J-JPN	64	60	BF5F326E	SRAM_V113	256
SENNENKAZOKU	AGB-BKAJ-JPN	128	3C	A2F6976C	FLASH1M_V102	1024
GASHBOOKMARK	AGB-BKBJ-JPN	64	42	D66379E1	SRAM_F_V103	256
KURESHIN2004	AGB-BKCJ-JPN	128	8B	A3541A18	EEPROM_V124	64
KURESHIN2004	AGB-BKCS-ESP	128	98	769A7666	EEPROM_V124	64
CRASH PURPLE	AGB-BKDJ-JPN	128	52	0E6A4FEE	EEPROM_V124	4
GASH-CARDGBA	AGB-BKEJ-JPN	128	84	E1E26F2A	EEPROM_V124	64
THE BEE GAME	AGB-BKFE-USA	32	B9	DA747C99	EEPROM_V124	4
BIENEMAJA	AGB-BKFX-EUU	32	31	0363C23F	EEPROM_V124	4
PET GALLERY	AGB-BKGJ-JAP	64	97	BC5ABD75		
KILLSWITCH	AGB-BKHE-USA	32	B2	2B207D1F	EEPROM_V124	4
KILLSWITCH	AGB-BKHP-EUR	32	AD	6D58EA3D	EEPROM_V124	4
KRRCART_AGB	AGB-BKJJ-JPN	32	5E	C026CBBB	SRAM_V113	256
KABUKUWA	AGB-BKKJ-JPN	64	46	20E296A6	EEPROM_V122	64
KIMPOSSIBLE2	AGB-BKME-USA	64	39	D480CBB6	EEPROM_V124	4
KIMPOSSIBLE	AGB-BKMJ-JPN	64	6B	69843F73	EEPROM_V124	4
KIMPOSSIBLE2	AGB-BKMP-EUR	64	2E	71C505C8	EEPROM_V124	4
LEGO_KNIGHTS	AGB-BKNE-USA	32	24	88FE3F31		
LEGO_KNIGHTS	AGB-BKNP-EUR	32	19	F027E89F		
ZORORIOHIME	AGB-BKOJ-JPN	128	60	5A81BF95	EEPROM_V124	64
PET GALLERY2	AGB-BKPJ-JPN	64	5C	C8C8C4C1	EEPROM_V124	4
KINGKONG GBA	AGB-BKQE-USA	64	87	06079C42	EEPROM_V124	4
KINGKONG GBA	AGB-BKQP-EUR	64	7C	37387B19	EEPROM_V124	4
CHAILIEN NO	AGB-BKRJ-JPN	64	AD	1B00BC2C	EEPROM_V124	4
SAKURA001MTO	AGB-BKSJ-JPN	128	51	D5BB189C	EEPROM_V124	4
STEELEMPIRE	AGB-BKTJ-JPN	32	6F	CDFAC4EE	EEPROM_V124	4
STEEL EMPIRE	AGB-BKTP-EUR	256	40	DE8115B5	EEPROM_V124	4
SHINMEDA-KWG	AGB-BKUJ-JPN	64	4A	0FD35628	EEPROM_V124	64
SHINMEDA-KBT	AGB-BKVJ-JPN	64	51	54AF534D	EEPROM_V124	64
BOOKWORM	AGB-BKWE-USA	32	3C	451EE43F	EEPROM_V122	4
BANJOKAZOOIE	AGB-BKZE-USA	64	3A	DFB5ABA3	EEPROM_V122	64
BANJOKAZOOIE	AGB-BKZI-ITA	64	36	67AD698F	EEPROM_V122	64
BANJOKAZOOIE	AGB-BKZS-SPA	64	2C	32544634	EEPROM_V122	64
BANJOKAZOOIE	AGB-BKZX-EUU	64	27	FB4F38E2	EEPROM_V122	64
LIZZIE 2	AGB-BL2E-USA	32	9E	F11009F9	EEPROM_V124	4
LIZMCGUIRE3	AGB-BL3E-USA	64	98	A2843980	EEPROM_V124	4
LIZZIE 2 SE	AGB-BL4E-USA	256	E4	2706B300	FLASH512_V131	512
LEGOKK&BB_EG	AGB-BL5P-EUR	128	7D	D720BDCA		
MYLITTLEPONY	AGB-BL6E-USA	32	1F	90DBD5EB		
LSW2GBA	AGB-BL7E-USA	128	EB	DA1E9444	EEPROM_V124	4
LSW2GBA	AGB-BL7P-EUR	128	E0	BBA91C3B	EEPROM_V124	4
TOMB RAIDER	AGB-BL8E-USA	64	C3	5A3DFB37	EEPROM_V124	4
TOMB RAIDER	AGB-BL8P-EUR	64	B8	E2FF36C7	EEPROM_V124	4
RIDE DREAMER	AGB-BL9E-USA	32	92	1D96366C	EEPROM_V124	64
SCRABLEBLAST	AGB-BLAE-USA	32	69	5D31A1F9		
SCRABBLESCRA	AGB-BLAP-EUR	32	4A	0ED5F375		
SCRABBLE SCR	AGB-BLAX-EUU	32	63	E8EB2E3A		
LK_&_BB_MULT	AGB-BLBX-EUU	128	04	9E5F961B	EEPROM_V122	4
CAMP LAZLO	AGB-BLCE-USA	32	EA	40C2894E	EEPROM_V124	4
CAMP LAZLO	AGB-BLCP-EUR	64	D2	37DE9A3D	EEPROM_V124	4
LIZ_PRIN_ENG	AGB-BLDP-EUR	128	00	99C96067	EEPROM_V124	4
LIZ_PRIN_SPA	AGB-BLDS-SPA	128	F3	57F886B0	EEPROM_V124	64
BLEACH ADV1	AGB-BLEJ-JPN	256	E1	9DE5CD08	FLASH512_V131	512
DBZLEGACY1&2	AGB-BLFE-USA	128	B3	ACE78C4F	EEPROM_V124	64
FLUSHED AWAY	AGB-BLHE-USA	64	59	0ED5DF4B		
FLUSHED AWAY	AGB-BLHP-EUR	128	4E	62E435DE		
CAKECASTLE	AGB-BLIJ-JPN	64	D2	8FEA41C4	EEPROM_V124	64
LEGENDZSHIMA	AGB-BLJJ-JPN	64	40	33950228	FLASH512_V131	512
LEGENDZSHIMA	AGB-BLJK-KOR	128	3F	5AD7464C	FLASH512_V131	512
LIONKING 1.5	AGB-BLKE-USA	64	9F	5EAF187A	EEPROM_V122	4
LIONKING	AGB-BLKP-EUR	64	48	63592451	EEPROM_V122	4
LIZZIEMCGUIR	AGB-BLME-USA	32	0E	70DED768	EEPROM_V120	64
LIZZIEMCGUIR	AGB-BLMP-EUR	32	19	3CE6D10A	EEPROM_V120	64
LOONEYTUNES2	AGB-BLNE-USA	64	1D	ECADD047	EEPROM_V124	4
LOONEYTUNES2	AGB-BLNP-EUR	64	1F	DCA23B31	EEPROM_V124	4
LBT_ITMB	AGB-BLOE-USA	64	22	CFF03DF3	EEPROM_V124	4
LBT_ITMB	AGB-BLOP-EUR	64	26	5485EEFA	EEPROM_V124	4
LK_AND_DPGER	AGB-BLPD-NOE	128	26	AD82CB84	EEPROM_V124	4
LK_AND_DPFRE	AGB-BLPF-NOE	128	25	CCE9C2E2	EEPROM_V124	4
LK_AND_DPIT	AGB-BLPI-ITA	128	62	A4ACBA4A	EEPROM_V124	4
LK_AND_DP	AGB-BLPP-EUR	128	F8	3B1CF966	EEPROM_V124	4
LK_AND_DP_SP	AGB-BLPS-SPA	128	F3	6472AC25	EEPROM_V124	4
LILO & STITC	AGB-BLQP-EUR	128	80	75703943	EEPROM_V124	4
RETURN KING	AGB-BLRE-USA	128	94	7590EBFA	EEPROM_V122	4
RETURN KING	AGB-BLRJ-JPN	128	9A	465F2753	EEPROM_V122	4
LILO&STITCH2	AGB-BLSE-USA	64	4F	021A5755	EEPROM_V124	4
LILO&STITCH	AGB-BLSJ-JPN	64	81	DB1E7311	EEPROM_V124	4
DISNEY'S LIL	AGB-BLSP-EUR	64	54	36D907CF	EEPROM_V124	4
